song_id	song_name	id_artists	name_artists	popularity	explicit	song_type	track_number	num_artists	num_available_markets	release_date	duration_ms	key	mode	time_signature	acousticness	danceability	energy	instrumentalness	liveness	loudness	speechiness	valence	tempo
3e9HZxeyfWwjeyPAMmWSSQ	thank u, next	['66CXWjxzNUsdJxJ2JdwvnR']	['Ariana Grande']	87	True	Solo	11	1	79	2019-02-08	207320	1	1	4	0.229	0.717	0.653	0	0.101	-5.634	0.0658	0.412	106.966
5p7ujcrUXASCNwRaWNHR1C	Without Me	['26VFTg2z8YR0cCuwLzESi2']	['Halsey']	87	True	Solo	1	1	79	2018-10-04	201661	6	1	4	0.297	0.752	0.488	9.11e-06	0.0936	-7.05	0.0705	0.533	136.041
2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	['0Y5tJX1MQlPlqiwlOH1tJY']	['Travis Scott']	86	True	Solo	3	1	79	2018-08-03	312820	8	1	4	0.00513	0.834	0.73	0	0.124	-3.714	0.222	0.446	155.008
3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	['246dkjvS1zLTtiykXe5h60', '1zNqQNIdeOUZHb8zbZRFMX']	['Post Malone', 'Swae Lee']	92	False	Collaboration	2	2	79	2018-12-14	158040	2	1	4	0.556	0.76	0.479	0	0.0703	-5.574	0.0466	0.913	89.911
1rqqCSm0Qe4I9rUvWncaom	High Hopes	['20JZFwl6HVl6yg8a4H3ZqK']	['Panic! At The Disco']	86	False	Solo	4	1	78	2018-06-22	190947	5	1	4	0.193	0.579	0.904	0	0.064	-2.729	0.0618	0.681	82.014
0MMSmg7zyo6pOKZrfHUOqu	A Holly Jolly Christmas	['0MHgLfmQdutffmvWe5XBTN']	['Burl Ives']	3	False	Solo	22	1	77	2015-10-28	133547	0	1	4	0.685	0.665	0.398	0	0.172	-11.886	0.03	0.864	140.456
1xzBco0xcoJEDXktl7Jxrr	Mo Bamba	['2RDOrhPqAM4jzTRCEb19qX']	['Sheck Wes']	81	True	Solo	9	1	79	2018-10-05	183907	4	1	4	0.194	0.729	0.625	0.00986	0.248	-5.266	0.0315	0.261	146.034
4OafepJy2teCjYJbvFE60J	breathin	['66CXWjxzNUsdJxJ2JdwvnR']	['Ariana Grande']	79	True	Solo	9	1	79	2018-08-17	198160	8	1	4	0.0211	0.568	0.656	1.37e-05	0.213	-5.413	0.0433	0.364	100.049
55S2PQgSMYAhgoTCcGCDfw	Youngblood	['5Rl15oVamLq7FbSb0NNBNy']	['5 Seconds of Summer']	77	False	Solo	1	1	79	2018-04-12	203418	7	0	4	0.0169	0.596	0.854	0	0.124	-5.114	0.463	0.152	120.274
7dt6x5M1jzdTEt8oCbisTK	Better Now	['246dkjvS1zLTtiykXe5h60']	['Post Malone']	86	True	Solo	9	1	79	2018-04-27	231267	10	1	4	0.354	0.68	0.563	0	0.136	-5.843	0.0454	0.374	145.028
285pBltuF7vW8TeWk8hdRR	Lucid Dreams	['4MCBfE4596Uoi2O4DtmEMz']	['Juice WRLD']	85	True	Solo	3	1	79	2018-12-10	239836	6	0	4	0.349	0.511	0.566	0	0.34	-7.23	0.2	0.218	83.903
39LmTF9RgyakzSYX8txrow	imagine	['66CXWjxzNUsdJxJ2JdwvnR']	['Ariana Grande']	76	True	Solo	1	1	79	2019-02-08	212267	8	1	3	0.378	0.729	0.475	0	0.12	-4.985	0.0364	0.371	62.52
6CTWathupIiDs7U4InHnDA	Trip	['7HkdQ0gt53LP4zmHsL0nap']	['Ella Mai']	78	False	Solo	13	1	79	2018-10-12	213993	11	0	4	0.225	0.477	0.61	0	0.107	-5.628	0.144	0.358	79.882
2GGMabyHXnJmjY6CXhhB2e	Money	['4kYSro6naA4h99UJvo89HB']	['Cardi B']	79	True	Solo	1	1	78	2018-10-23	183527	8	0	4	0.00534	0.95	0.59	0	0.11	-6.508	0.29	0.219	130.003
14mHfNsSHN0FbLftyjrV9g	Leave Me Alone	['2HUwZ0kumzCSlhFcjFZfpp']	['Flipp Dinero']	80	True	Solo	1	1	79	2018-09-04	195637	7	1	4	0.107	0.792	0.743	0	0.183	-2.806	0.0851	0.742	150.024
7taXf5odg9xCAZERYfyOkS	Feliz Navidad	['7K78lVZ8XzkjfRSI7570FF']	['José Feliciano']	47	False	Solo	22	1	67	2001-09-03	182360	2	1	4	0.534	0.485	0.857	0	0.347	-7.059	0.0442	0.963	148.749
3GJ4hzg4lrGwU51Y3VARbF	Speechless	['7z5WFjZAIYejWy0NI5lv4T']	['Dan + Shay']	75	False	Solo	7	1	78	2018-06-22	213387	1	1	4	0.356	0.616	0.438	0	0.24	-5.968	0.0298	0.386	135.929
0U2pP3HpalMInP1lOhECsw	Love Lies	['0kwBswqLAwOSM0PdZAEKaM']	['2018 DJ Grime']	4	False	Solo	1	1	79	2018-02-22	202998	6	1	4	0.478	0.731	0.587	0	0.106	-8.577	0.0604	0.373	144.025
4T3fNx3CgwDRRYgmFCbD4J	Better	['6LuN9FCkKOj5PcnpouEgny']	['Khalid']	75	False	Solo	1	1	77	2018-09-14	229413	0	0	4	0.0984	0.442	0.585	0.391	0.14	-10.332	0.0964	0.116	97.565
2FY7b99s15jUprqC0M5NCT	Natural	['53XhwfbYqKCa1cC15pYq2q']	['Imagine Dragons']	82	False	Solo	1	1	79	2018-11-09	189467	2	1	4	0.217	0.704	0.611	0	0.0812	-6.112	0.0409	0.22	100.0
2MShy1GSSgbmGUxADNIao5	Calling My Spirit	['46SHBwWsqBkxI7EeeBEQG7']	['Kodak Black']	75	True	Solo	10	1	78	2018-12-14	152000	1	1	4	0.0996	0.91	0.366	0	0.261	-9.954	0.0941	0.74	119.985
3wScL5W8H40zzCKN0atfBk	Uproar	['55Aa2cqylxrFIXC767Z865', '2cADQgiLMjNhbsfeN52Bf3']	['Lil Wayne', 'Swizz Beatz']	73	True	Collaboration	4	2	79	2018-09-28	194184	1	1	4	0.0595	0.743	0.87	0	0.299	-2.188	0.212	0.884	99.075
698eQRku24PIYPQPHItKlA	She Got the Best of Me	['718COspgdWOnwOFpJHRZHS']	['Luke Combs']	75	False	Solo	17	1	79	2018-06-01	183160	11	1	4	0.0292	0.533	0.907	0	0.386	-3.793	0.0406	0.7	150.99
4CH66Rxcjcj3VBHwmIBj4T	BAD!	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	72	False	Solo	1	1	79	2018-11-09	94246	5	0	4	0.0643	0.78	0.492	0.0313	0.174	-3.4	0.0671	0.374	143.983
1G4cdOtF36ZCs6i2dZoC87	Drunk Me	['1p6CdzJRoicjRcSdWoB9Qc']	['Mitchell Tenpenny']	72	False	Solo	8	1	79	2018-12-14	211768	2	1	4	0.199	0.499	0.797	0	0.0933	-3.77	0.0554	0.408	176.024
3VamXAvVMczcS2PTYtPfBQ	Best Shot	['147nKr9upHZSSxqCzh9j7c']	['Jimmie Allen']	71	False	Solo	13	1	78	2018-10-12	195053	4	1	4	0.75	0.629	0.464	0	0.0853	-8.72	0.0334	0.523	156.051
6Up545NUflOiXo8cEraH49	You Say	['40LHVA5BTQp9RxHOQ9JPYj']	['Lauren Daigle']	80	False	Solo	5	1	78	2018-09-07	274693	5	1	4	0.682	0.486	0.632	0	0.0869	-6.89	0.0344	0.0791	147.892
5wujBwqG7INdStqGd4tRMX	Armed And Dangerous	['4MCBfE4596Uoi2O4DtmEMz']	['Juice WRLD']	79	True	Solo	5	1	79	2018-12-10	169999	10	1	4	0.186	0.736	0.67	0	0.114	-6.702	0.311	0.845	130.032
3EPXxR3ImUwfayaurPi3cm	Be Alright	['3QSQFmccmX81fWCUSPTS7y']	['Dean Lewis']	83	True	Solo	1	1	79	2018-06-29	196373	11	1	4	0.697	0.553	0.586	0	0.0813	-6.319	0.0362	0.443	126.684
3pJkBPHadRAxBBo484RipI	Sixteen	['6x2LnllRG5uGarZMsD4iO8']	['Thomas Rhett']	68	False	Solo	3	1	79	2017-09-08	178333	1	1	4	0.0147	0.707	0.531	2.11e-06	0.175	-7.014	0.0273	0.417	106.992
7sTtHHrD0zDpmzQzH3zegz	Consequences	['4nDoRrQiYLoBzwC5BhVJzF']	['Camila Cabello']	72	False	Solo	6	1	79	2018-01-12	178467	0	1	5	0.889	0.455	0.292	0	0.106	-6.792	0.0563	0.43	84.339
577YBGuskWkVDCxZrLRB4v	Pure Cocaine	['5f7VJjfbwm532GiveGC0ZK']	['Lil Baby']	77	True	Solo	2	1	79	2018-11-30	154024	10	0	4	0.00127	0.964	0.487	6.57e-06	0.115	-6.071	0.421	0.107	127.05
2GHO21NrpLapnnfx5z2UL6	Girl Like You	['3FfvYsEGaIb52QPXhg4DcH']	['Jason Aldean']	48	False	Solo	3	1	77	2018-04-13	192888	3	0	4	0.0338	0.543	0.868	0.000289	0.19	-4.69	0.0354	0.433	144.07
5HnXcJJbNXQQ7tRlQ9VN1v	Good Girl	['1dID9zgn0OV0Y8ud7Mh2tS']	['Dustin Lynch']	71	False	Solo	1	1	78	2018-05-05	189533	7	1	4	0.16	0.711	0.696	0	0.17	-5.05	0.0871	0.694	80.512
6Gg25EZRbQd4IHiJz2KSY0	Testimony	['46SHBwWsqBkxI7EeeBEQG7']	['Kodak Black']	61	True	Solo	1	1	78	2018-12-14	240000	6	0	4	0.0369	0.814	0.667	0	0.11	-4.785	0.36	0.376	80.031
01jIO8SJFnpSiNLH1JaBZ5	You	['4tMm1dU6Gn04VAZ9ClHcIZ']	['Jacquees']	71	True	Solo	19	1	79	2018-09-07	217387	8	0	4	0.413	0.735	0.453	0	0.104	-8.264	0.0602	0.335	115.002
43zdsphuZLzwA9k4DJhU0I	when the party's over	['6qqNVTkY8uBg9cP3Jd7DAH']	['Billie Eilish']	88	False	Solo	7	1	79	2019-03-29	196077	4	1	4	0.978	0.367	0.111	3.97e-05	0.0897	-14.084	0.0972	0.198	82.642
6viHvc13l9A6Ua6xugpeX6	Last Shot	['2hJPr4lk7Q8SSvCVBl9fWM']	['Kip Moore']	66	False	Solo	11	1	79	2017-09-08	228480	4	1	4	0.00204	0.487	0.859	0	0.322	-4.403	0.0488	0.377	148.037
7pdF27mSDuPWhppnHAmWHa	whoa (mind in awe)	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	74	False	Solo	4	1	79	2018-12-07	157777	6	0	4	0.653	0.735	0.525	0.918	0.101	-2.939	0.0441	0.369	160.147
2rxQMGVafnNaRaXlRMWPde	Beautiful Crazy	['718COspgdWOnwOFpJHRZHS']	['Luke Combs']	80	False	Solo	15	1	79	2018-06-01	193200	11	1	4	0.676	0.552	0.402	0	0.0928	-7.431	0.0262	0.382	103.313
5274I4mUMnYczyeXkGDWZN	Fine China	['1RyvyyTE3xzB2ZywiAwp0i', '4MCBfE4596Uoi2O4DtmEMz']	['Future', 'Juice WRLD']	78	True	Collaboration	3	2	79	2018-10-19	141587	7	1	4	0.0484	0.656	0.542	0	0.126	-7.358	0.323	0.551	166.111
34DFpyq5NJJ79GnGbbJH3p	This Is It	['6ZV6lGY0prbqpTD0Md8i29']	['Scotty McCreery']	71	False	Solo	6	1	79	2018-03-16	230973	8	1	4	0.254	0.557	0.511	0	0.099	-6.788	0.0291	0.602	156.042
25sgk305KZfyuqVBQIahim	Sweet but Psycho	['4npEfmQ6YuiwW1GpUmaq3F']	['Ava Max']	87	False	Solo	1	1	78	2018-08-17	187436	1	1	4	0.0691	0.719	0.704	0	0.166	-4.724	0.0476	0.628	133.002
05t7JMip6JrLuSrMV5yYjX	Envy Me	['0HkcYmcjrBR3SCw9Ld5VZk']	['Calboy']	79	True	Solo	1	1	79	2018-12-13	120137	11	1	4	0.282	0.556	0.481	0	0.216	-7.663	0.313	0.581	149.025
7lAK3oHbfEnvUQWosrMMpR	YOSEMITE	['0Y5tJX1MQlPlqiwlOH1tJY']	['Travis Scott']	80	True	Solo	12	1	79	2018-08-03	150043	0	1	4	0.283	0.785	0.554	3.4e-06	0.116	-6.571	0.0409	0.144	128.047
68JS5SFTnW5Yv9Vzw81Jf0	Millionaire	['4YLtscXsxbVgi031ovDDdh']	['Chris Stapleton']	68	False	Solo	1	1	79	2017-12-01	210133	10	1	4	0.165	0.602	0.463	0.00968	0.0975	-9.666	0.0279	0.454	142.635
3Ol2xnObFdKV9pmRD2t9x8	Look Back at It	['31W5EY0aAly4Qieq6OFu6I']	['A Boogie Wit da Hoodie']	81	True	Solo	11	1	78	2018-12-21	179449	3	0	4	0.407	0.791	0.587	0	0.148	-5.075	0.0413	0.536	96.057
6XcfKZvJio9Z0fQy11GnNX	broken	['4KJ6jujcNPzOyhdNoiNftp']	['lovelytheband']	73	False	Solo	4	1	79	2018-08-03	204878	7	1	4	0.00175	0.666	0.728	4.26e-06	0.0429	-5.808	0.0419	0.51	122.996
7uqcLJFlSYjVPLUz1vPxkY	Guardian angel	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	67	True	Solo	2	1	79	2018-12-07	108035	0	0	4	0.795	0.712	0.374	0	0.187	-10.215	0.511	0.779	133.952
5OCJzvD7sykQEKHH7qAC3C	God is a woman	['66CXWjxzNUsdJxJ2JdwvnR']	['Ariana Grande']	81	True	Solo	5	1	79	2018-08-17	197547	1	1	4	0.0233	0.602	0.658	6e-05	0.237	-5.934	0.0558	0.268	145.031
4axYWgXASdsCBHuwInAubT	I don’t let go	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	67	True	Solo	9	1	79	2018-12-07	121630	5	1	4	0.591	0.797	0.293	0.0724	0.148	-7.479	0.08	0.478	80.035
5lar0mCUejpILVkAz50s2J	Train food	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	62	True	Solo	3	1	79	2018-12-07	164083	9	0	3	0.564	0.492	0.712	9.1e-05	0.357	-7.278	0.691	0.23	137.453
57nOpVSc3j9o03Cr928ZM4	what are you so afraid of	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	66	False	Solo	10	1	79	2018-12-07	150769	0	1	4	0.774	0.639	0.312	0.469	0.0857	-9.902	0.0301	0.347	103.369
4KpKyRFwN0gcwj58Uqjv7q	STARING AT THE SKY	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	62	False	Solo	6	1	79	2018-12-07	85124	5	1	4	0.134	0.557	0.338	0.00184	0.14	-9.892	0.0257	0.689	140.935
07FkzikE6FuHIa8Ma7zJGc	Lie	['6fOMl44jA4Sp5b9PpYCkzz']	['NF']	76	False	Solo	13	1	78	2017-10-06	209213	5	1	4	0.161	0.753	0.66	0	0.236	-6.542	0.133	0.182	95.003
5itzep0nGnq7hxCfFNsTIR	difference (interlude)	['15UsOTVnJzReFVN1VCnxy4']	['XXXTENTACION']	64	False	Solo	8	1	79	2018-12-07	76974	11	0	4	0.949	0.593	0.0668	1.31e-05	0.194	-15.268	0.0722	0.19	102.456
5c0Vl3yklw5WX9YI36dPLd	That's On Me	['7kwCkEJ384PWm0UQW3hxjS']	['Yella Beezy']	65	True	Solo	4	1	79	2017-12-21	219552	4	0	4	0.0288	0.803	0.648	0	0.0904	-9.185	0.198	0.538	131.925
3EQ9QP2E7wjYQba8OSPBst	Intro	['20sxb77xiYeusSH8cVdatc']	['Meek Mill']	62	True	Solo	1	1	78	2018-11-30	213402	1	1	4	0.0557	0.678	0.76	0	0.359	-5.546	0.221	0.24	96.044
